variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
"M[25,8]",0.381,0.3669,0.2124,0.002435,0.03216,0.216,0.5269,0.8295,15001,100000,7607
"M[25,9]",0.3375,0.3173,0.211,0.001903,0.01845,0.1664,0.4823,0.7884,15001,100000,12287
"M[25,10]",0.4083,0.3967,0.2028,0.002773,0.0604,0.2551,0.5471,0.8323,15001,100000,5348
"M[26,1]",0.234,0.2068,0.1583,0.005736,0.0142,0.1101,0.3292,0.6072,15001,100000,762
"M[26,2]",0.183,0.1719,0.1089,0.004146,0.01371,0.09739,0.257,0.4143,15001,100000,690
"M[26,3]",0.5879,0.5958,0.08452,0.002905,0.404,0.5346,0.6485,0.7314,15001,100000,846
"M[26,4]",0.184,0.1534,0.141,0.002857,0.007058,0.0719,0.2663,0.5219,15001,100000,2437
"M[26,5]",0.2035,0.1723,0.1557,0.00293,0.006691,0.07501,0.3002,0.5663,15001,100000,2822
"M[26,6]",0.2345,0.2045,0.1708,0.00266,0.008335,0.09382,0.3459,0.6215,15001,100000,4121
"M[26,7]",0.257,0.2281,0.182,0.002243,0.009586,0.1065,0.378,0.6637,15001,100000,6582
"M[26,8]",0.3674,0.3514,0.2069,0.002398,0.03162,0.2069,0.5065,0.8102,15001,100000,7439
"M[26,9]",0.334,0.3123,0.2101,0.001867,0.01799,0.1633,0.4777,0.7882,15001,100000,12666
"M[26,10]",0.4003,0.3844,0.2023,0.002781,0.06122,0.2461,0.5373,0.8318,15001,100000,5290
"M[27,1]",0.2426,0.2157,0.1624,0.005823,0.01421,0.1141,0.3442,0.6153,15001,100000,777
"M[27,2]",0.2098,0.2041,0.121,0.004613,0.01382,0.1116,0.2986,0.4495,15001,100000,687
"M[27,3]",0.5943,0.5999,0.07538,0.002648,0.4319,0.5463,0.6478,0.726,15001,100000,810
"M[27,4]",0.1834,0.1525,0.1411,0.002862,0.006917,0.07144,0.266,0.5219,15001,100000,2432
"M[27,5]",0.2077,0.1739,0.1612,0.003064,0.006581,0.07493,0.3074,0.5872,15001,100000,2769
"M[27,6]",0.2373,0.2043,0.175,0.002673,0.008595,0.09288,0.3508,0.6373,15001,100000,4283
"M[27,7]",0.2593,0.2284,0.1852,0.002207,0.009706,0.1072,0.3794,0.6799,15001,100000,7044
"M[27,8]",0.3612,0.3468,0.2043,0.002356,0.03041,0.2024,0.4989,0.8014,15001,100000,7516
"M[27,9]",0.3347,0.3134,0.2104,0.001887,0.01823,0.1658,0.4768,0.7924,15001,100000,12429
"M[27,10]",0.3999,0.3835,0.2013,0.002709,0.06563,0.2466,0.5345,0.8314,15001,100000,5524
"M[28,1]",0.2859,0.2635,0.1789,0.006695,0.01815,0.143,0.4057,0.6783,15001,100000,713
"M[28,2]",0.2896,0.2865,0.1631,0.006567,0.01871,0.1556,0.4166,0.5931,15001,100000,617
"M[28,3]",0.6637,0.6678,0.06291,0.002038,0.5303,0.6235,0.7086,0.7746,15001,100000,952
"M[28,4]",0.1955,0.1611,0.153,0.003057,0.007215,0.07236,0.2853,0.565,15001,100000,2504
"M[28,5]",0.2202,0.1852,0.1699,0.00322,0.006423,0.07915,0.3289,0.6138,15001,100000,2783
"M[28,6]",0.2514,0.2163,0.1863,0.002844,0.008736,0.09546,0.375,0.6726,15001,100000,4290
"M[28,7]",0.2702,0.2376,0.1935,0.002326,0.009743,0.1091,0.4007,0.7043,15001,100000,6919
"M[28,8]",0.3709,0.357,0.2078,0.002328,0.03126,0.2086,0.5133,0.8092,15001,100000,7971
"M[28,9]",0.3403,0.3199,0.2123,0.001948,0.01761,0.1688,0.4865,0.7957,15001,100000,11883
"M[28,10]",0.4105,0.3989,0.1987,0.0025,0.06814,0.2611,0.5447,0.8314,15001,100000,6317
"M[29,1]",0.2249,0.1936,0.1609,0.005834,0.01159,0.09599,0.3238,0.6062,15001,100000,761
"M[29,2]",0.2491,0.2181,0.1711,0.006676,0.01212,0.1076,0.3695,0.6196,15001,100000,656
"M[29,3]",0.5695,0.5771,0.09827,0.002832,0.3569,0.5075,0.6392,0.7396,15001,100000,1204
"M[29,4]",0.2065,0.1659,0.1655,0.003305,0.006955,0.07398,0.3024,0.6107,15001,100000,2506
"M[29,5]",0.2341,0.1968,0.1819,0.003397,0.006469,0.08167,0.3517,0.6531,15001,100000,2867
"M[29,6]",0.2659,0.2283,0.1972,0.003084,0.008792,0.09975,0.4008,0.7065,15001,100000,4090
"M[29,7]",0.2814,0.2489,0.2006,0.00247,0.009815,0.1136,0.4178,0.7253,15001,100000,6596
"M[29,8]",0.3815,0.3694,0.2123,0.002404,0.03084,0.216,0.5303,0.8216,15001,100000,7800
"M[29,9]",0.3459,0.3273,0.2151,0.001988,0.01816,0.1706,0.4969,0.8015,15001,100000,11708
"M[29,10]",0.4245,0.4168,0.2,0.00247,0.071,0.2755,0.5618,0.8351,15001,100000,6557
"M[30,1]",0.2005,0.1576,0.1651,0.005173,0.007389,0.07073,0.29,0.615,15001,100000,1018
"M[30,2]",0.2012,0.1579,0.1658,0.005194,0.007281,0.07126,0.2904,0.6173,15001,100000,1018
"M[30,3]",0.5128,0.5233,0.1552,0.003208,0.189,0.4091,0.6256,0.7865,15001,100000,2339
"M[30,4]",0.2068,0.1639,0.1688,0.003244,0.00714,0.0742,0.299,0.6302,15001,100000,2709
"M[30,5]",0.2314,0.1897,0.1842,0.003243,0.006666,0.07972,0.3437,0.6706,15001,100000,3224
"M[30,6]",0.2612,0.2209,0.1971,0.002896,0.008644,0.09762,0.3884,0.7165,15001,100000,4630
"M[30,7]",0.2807,0.2477,0.2012,0.002261,0.009657,0.1131,0.4147,0.7324,15001,100000,7918
"M[30,8]",0.3766,0.3616,0.2119,0.002205,0.03152,0.2115,0.5235,0.8224,15001,100000,9235
"M[30,9]",0.3425,0.3222,0.2138,0.001786,0.01812,0.1696,0.4909,0.8001,15001,100000,14329
"M[30,10]",0.4155,0.4045,0.2012,0.002351,0.06578,0.2644,0.5534,0.8348,15001,100000,7320
"M[31,1]",0.1855,0.1381,0.1644,0.004884,0.005725,0.05868,0.2667,0.6148,15001,100000,1133
"M[31,2]",0.1858,0.1378,0.1646,0.004859,0.005816,0.05901,0.2678,0.6135,15001,100000,1148
"M[31,3]",0.4799,0.4854,0.1736,0.003417,0.139,0.3564,0.6065,0.8003,15001,100000,2582
"M[31,4]",0.208,0.1639,0.1714,0.0032,0.007009,0.07382,0.3001,0.6418,15001,100000,2867
"M[31,5]",0.2302,0.1862,0.1857,0.003159,0.006607,0.07851,0.3411,0.6774,15001,100000,3456
"M[31,6]",0.259,0.2181,0.1969,0.00279,0.008572,0.09638,0.3858,0.7185,15001,100000,4982
"M[31,7]",0.2795,0.2453,0.2014,0.00218,0.009854,0.1122,0.4122,0.737,15001,100000,8535
"M[31,8]",0.3744,0.3597,0.2112,0.002044,0.03097,0.2095,0.5197,0.8219,15001,100000,10679
"M[31,9]",0.3407,0.3203,0.2132,0.001642,0.01829,0.1676,0.4866,0.7975,15001,100000,16849
"M[31,10]",0.4107,0.398,0.2019,0.002274,0.06505,0.2587,0.5492,0.8336,15001,100000,7882
"M[32,1]",0.1771,0.1264,0.1647,0.004689,0.005034,0.05284,0.2524,0.6165,15001,100000,1234
"M[32,2]",0.1762,0.1253,0.1639,0.004686,0.00487,0.05259,0.2511,0.6139,15001,100000,1222
"M[32,3]",0.4592,0.4603,0.1824,0.003444,0.1147,0.3268,0.5902,0.8081,15001,100000,2806
"M[32,4]",0.2088,0.1631,0.1734,0.003208,0.007024,0.07393,0.3002,0.6479,15001,100000,2923
"M[32,5]",0.2302,0.1853,0.1873,0.003112,0.006438,0.07759,0.3409,0.6832,15001,100000,3621
"M[32,6]",0.2577,0.2166,0.197,0.002756,0.00859,0.09473,0.382,0.7179,15001,100000,5107
"M[32,7]",0.2801,0.2453,0.2023,0.002154,0.009863,0.1125,0.4126,0.738,15001,100000,8815
"M[32,8]",0.3731,0.3577,0.2114,0.001991,0.03079,0.2077,0.5177,0.822,15001,100000,11264
"M[32,9]",0.3398,0.3178,0.2129,0.001576,0.01841,0.168,0.4854,0.7991,15001,100000,18243
"M[32,10]",0.4076,0.3949,0.202,0.002207,0.06304,0.2546,0.5452,0.834,15001,100000,8375
"M[33,1]",0.1695,0.1179,0.1626,0.004549,0.004522,0.04855,0.2393,0.6118,15001,100000,1277
"M[33,2]",0.1695,0.1176,0.1626,0.004519,0.004588,0.04877,0.24,0.6126,15001,100000,1294
"M[33,3]",0.4443,0.441,0.1862,0.003447,0.102,0.3071,0.5767,0.8096,15001,100000,2916
"M[33,4]",0.2096,0.1635,0.1747,0.003226,0.007016,0.07389,0.301,0.6536,15001,100000,2931
"M[33,5]",0.2295,0.184,0.1876,0.003055,0.006491,0.07702,0.3389,0.6869,15001,100000,3769
"M[33,6]",0.2578,0.2154,0.1987,0.002756,0.008513,0.09435,0.3811,0.7261,15001,100000,5194
"M[33,7]",0.2806,0.2455,0.2027,0.002125,0.009972,0.113,0.4128,0.741,15001,100000,9101
"M[33,8]",0.3722,0.3566,0.211,0.001924,0.0307,0.2074,0.5157,0.8209,15001,100000,12032
"M[33,9]",0.3391,0.318,0.2122,0.001529,0.01811,0.1681,0.484,0.7976,15001,100000,19249
"M[33,10]",0.4056,0.3928,0.2023,0.002169,0.06083,0.2532,0.5426,0.8329,15001,100000,8700
